companyid,companyname,ticker,price,p_l,p_vp,p_ebit,p_ativo,ev_ebit,margembruta,margemebit,margemliquida,p_sr,p_capitalgiro,p_ativocirculante,giroativos,roe,roa,roic,dividaliquidapatrimonioliquido,dividaliquidaebit,pl_ativo,passivo_ativo,liquidezcorrente,peg_ratio,receitas_cagr5,liquidezmediadiaria,vpa,lpa,valormercado,segmentid,sectorid,subsectorid,subsectorname,segmentname,sectorname,dy,lucros_cagr5
165,SONDOTECNICA ENGENHARIA SOLOS S.A.,SOND3,46.01,9.09,1.97,4.21,1.17,3.95,39.48,15.86,7.34,0.67,3.45,-3.02,1.76,21.62,12.89,25.53,-0.45,-0.97,0.6,0.4,2.25,-0.89,23.5,,23.41,5.06,132278741.0,3,1.0,2.0,Construção e Engenharia,Engenharia Consultiva,Bens Industriais,12.04,31.16
165,SONDOTECNICA ENGENHARIA SOLOS S.A.,SOND5,54.0,10.67,2.31,4.94,1.38,3.95,39.48,15.86,7.34,0.78,4.05,-3.54,1.76,21.62,12.89,25.53,-0.45,-0.97,0.6,0.4,2.25,-1.05,23.5,10800.0,23.41,5.06,132278741.0,3,1.0,2.0,Construção e Engenharia,Engenharia Consultiva,Bens Industriais,11.29,31.16
165,SONDOTECNICA ENGENHARIA SOLOS S.A.,SOND6,57.99,11.46,2.48,5.3,1.48,3.95,39.48,15.86,7.34,0.84,4.35,-3.8,1.76,21.62,12.89,25.53,-0.45,-0.97,0.6,0.4,2.25,-1.12,23.5,11408.5,23.41,5.06,132278741.0,3,1.0,2.0,Construção e Engenharia,Engenharia Consultiva,Bens Industriais,10.51,31.16
177,TAURUS ARMAS S.A.,TASA3,14.81,8.11,1.69,5.41,0.86,6.5,38.11,17.69,11.8,0.96,3.84,-2.1,0.9,20.87,10.66,14.49,0.33,1.04,0.51,0.49,1.62,-0.13,29.58,290619.79,8.75,1.83,1893899465.14,6,1.0,3.0,Máquinas e Equipamentos,Armas e Munições,Bens Industriais,9.42,
177,TAURUS ARMAS S.A.,TASA4,15.04,8.23,1.72,5.49,0.88,6.5,38.11,17.69,11.8,0.97,3.9,-2.13,0.9,20.87,10.66,14.49,0.33,1.04,0.51,0.49,1.62,-0.13,29.58,4890671.83,8.75,1.83,1893899465.14,6,1.0,3.0,Máquinas e Equipamentos,Armas e Munições,Bens Industriais,9.28,
384,VALE S.A.,VALE3,70.62,6.75,1.69,5.0,0.72,5.78,40.12,31.07,23.03,1.55,62.22,-0.86,0.46,24.99,10.66,21.26,0.26,0.78,0.43,0.56,1.08,-0.12,15.85,1447587225.55,41.9,10.47,320544715299.6,67,5.0,32.0,Mineração,Minerais Metálicos,Materiais Básicos,8.61,21.94
465,CTEEP - CIA TRANSMISSÃO ENERGIA ELÉTRICA PAULISTA,TRPL4,26.68,7.44,0.98,4.88,0.5,7.66,59.76,62.57,41.02,3.05,6.34,-0.6,0.16,13.14,6.72,11.65,0.4,2.0,0.51,0.47,1.9,-0.87,15.07,93729366.69,27.28,3.59,20369892810.96,85,10.0,44.0,Energia Elétrica,Energia Elétrica,Utilidade Pública,8.26,11.59
283,SLC AGRICOLA S.A.,SLCE3,18.1,6.98,1.54,3.39,0.48,4.84,31.62,24.57,11.95,0.83,2.04,-0.94,0.58,22.13,6.95,18.45,0.66,1.45,0.31,0.67,1.97,-0.5,34.0,60002822.31,11.72,2.59,8024267859.6,42,3.0,16.0,Agropecuária,Agricultura,Consumo não Cíclico,7.48,26.41
356,WIZ CO PARTICIPAÇÕES E CORRETAGEM DE SEGUROS S.A.,WIZC3,6.47,10.64,2.25,2.66,0.45,2.92,58.84,37.07,9.26,0.99,-17.76,-0.58,0.46,21.18,4.24,22.73,0.22,0.26,0.2,0.59,0.9,-0.28,12.37,3662720.1,2.87,0.61,1034600114.54,58,4.0,26.0,Previdência e Seguros,Corretoras de Seguros,Financeiro e Outros,6.88,-9.41
480,TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S.A.,TAEE3,12.4,11.2,1.93,6.95,0.66,11.58,68.87,71.85,44.57,4.99,4.81,-0.84,0.13,17.2,5.89,10.64,1.26,4.55,0.34,0.66,2.71,-0.29,19.43,1384944.03,6.44,1.11,12970383848.55,85,10.0,44.0,Energia Elétrica,Energia Elétrica,Utilidade Pública,6.02,12.03
