ticker,recomendação,buy,sell,neutral
SOND3,BUY,5,2,4
SOND5,STRONG_BUY,16,1,9
SOND6,STRONG_BUY,18,0,8
TASA3,SELL,1,15,10
TASA4,NEUTRAL,9,7,10
VALE3,SELL,4,12,10
TRPL4,BUY,14,2,10
SLCE3,SELL,4,12,10
WIZC3,NEUTRAL,9,8,9
TAEE3,BUY,10,6,10
SOJA3,STRONG_BUY,16,1,9
TAEE11,BUY,12,4,10
TAEE4,BUY,15,1,10
TRPL3,BUY,14,2,10
TKNO4,STRONG_BUY,16,0,10
UNIP6,STRONG_SELL,1,16,9
UNIP3,SELL,3,14,9
SMTO3,SELL,2,14,10
UNIP5,SELL,7,11,8
TGMA3,SELL,5,11,10
VULC3,SELL,5,12,9
TUPY3,NEUTRAL,9,8,9
SHUL4,NEUTRAL,9,7,10
VLID3,NEUTRAL,8,9,9
TRIS3,SELL,1,15,10
TECN3,BUY,12,5,9
SUZB3,SELL,5,11,10
VBBR3,NEUTRAL,7,9,10
WLMM3,SELL,2,16,8
WLMM4,SELL,1,15,10
UGPA3,BUY,14,4,8
VITT3,SELL,1,15,10
TTEN3,BUY,12,5,9
VSTE3,NEUTRAL,9,7,10
