ticker,recomendação,buy,sell,neutral
AESB3,SELL,7,10,9
AURE3,SELL,6,11,9
B3SA3,NEUTRAL,8,9,9
BBAS3,STRONG_BUY,16,1,9
BBDC4,NEUTRAL,7,10,9
BBSE3,BUY,14,3,9
BRAP4,SELL,5,12,9
CPLE6,BUY,10,6,10
CSMG3,BUY,16,5,5
EGIE3,SELL,2,14,10
EZTC3,STRONG_SELL,1,16,9
GOAU4,SELL,2,15,9
ITSA4,NEUTRAL,9,7,10
ITUB4,NEUTRAL,8,9,9
KLBN4,BUY,11,5,10
LREN3,SELL,6,10,10
MGLU3,BUY,12,5,9
PETR4,BUY,12,4,10
SAPR11,BUY,15,3,8
TAEE11,BUY,12,4,10
TIMS3,SELL,5,11,10
TRPL4,BUY,14,2,10
USIM5,SELL,6,10,10
VALE3,SELL,4,12,10
VIVT3,SELL,6,10,10
